name,attack,attribute,defense,has_materials,has_name_condition,is_extra_deck,is_fusion,is_link,is_pendulum,is_synchro,is_xyz,link_markers,link_number,materials,monster_types,name_condition,number,pendulum_left,pendulum_right,pendulum_text,Type,stars,text
A/D Changer,100,LIGHT,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,96146814,,,,Warrior,1,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position."
Abaki,1700,FIRE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,12694768,,,,Fiend,4,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage."
Abare Ushioni,1200,EARTH,1200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,89718302,,,,Beast-Warrior,4,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage."
ABC-Dragon Buster,3000,LIGHT,2800,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""","['Fusion', 'Effect']",,1561110,,,,Machine,8,"Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your Graveyard. (You do not use ""Polymerization"".) Once per turn, during either player's turn: You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn: You can Tribute this card, then target 3 of your banished LIGHT Machine-Type Union monsters with different names; Special Summon them (this is a Quick Effect)."
Absolute Crusader,1800,EARTH,1200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,70832512,,,,Warrior,4,When a Level 5 or higher monster is Special Summoned: Tribute this face-up card on the field; destroy that Level 5 or higher monster.
Absolute King Back Jack,0,DARK,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,60990740,,,,Fiend,1,"During your opponent's turn: You can banish this card from the Graveyard (this is a Quick Effect); excavate the top card of your Deck, and if it is a Normal Trap Card, Set it to your side of the field. Otherwise, send it to the Graveyard. That Set card can be activated during this turn. If this card is sent to the Graveyard: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn."
Absorbing Jar,600,EARTH,500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,3900605,,,,Rock,3,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn."
Absorbing Kid from the Sky,1300,LIGHT,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,49771608,,,,Fairy,4,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points."
Abyss Actor - Curtain Raiser,1100,DARK,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,44179224,7,7,"If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.",Fiend,7,"Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand."
Abyss Actor - Evil Heel,3000,DARK,2000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,52240819,1,1,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).",Fiend,8,"If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card."
Abyss Actor - Extras,100,DARK,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,88412339,3,3,"If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn.",Fiend,1,"You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn."
Abyss Actor - Funky Comedian,300,DARK,200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,99634927,8,8,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).",Fiend,1,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn."
Abyss Actor - Leading Lady,1500,DARK,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,24907044,2,2,"Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;Åú That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).Åú Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.",Fiend,4,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck."
Abyss Actor - Sassy Rookie,1700,DARK,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,51028231,2,2,"If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.",Fiend,4,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it."
Abyss Actor - Superstar,2500,DARK,1800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,25629622,3,3,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell Card in your Graveyard; add it to your hand.",Fiend,7,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck, but it is sent to the Graveyard during the End Phase."
Abyss Actor - Trendy Understudy,700,DARK,700,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,39024589,8,8,"When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",Fiend,2,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn."
Abyss Actor - Twinkle Littlestar,1000,DARK,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,7279373,9,9,"You cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn, it can make a second and third attack on monsters during each Battle Phase, also other monsters you control cannot attack (even if this card leaves the field).",Fiend,4,Cannot be destroyed by battle during your turn. This card can make a second and third attack on monsters during each Battle Phase.
Abyss Actor - Wild Hope,1600,DARK,1200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,51391183,2,2,"Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field).",Fiend,4,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn."
Abyss Dweller,1700,WATER,1400,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2 Level 4 monsters,"['Xyz', 'Effect']",,21044178,,,,Sea Serpent,4,"While this card has an Xyz Material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; any card effects that activate in your opponent's Graveyard cannot be activated this turn."
Abyss Flower,750,EARTH,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,40387124,,,,Plant,2,A rarely seen flower that blossoms quietly on the edge of darkness.
Abyss Soldier,1800,WATER,1300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,18318842,,,,Aqua,4,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.
Abyss Warrior,1800,WATER,1300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,88409165,,,,Aqua,4,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck."
Abyssal Kingshark,1700,WATER,600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,44223284,,,,Fish,4,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed."
Accel Synchron,500,DARK,2100,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,1 Tuner + 1 or more non-Tuner monsters,"['Synchro', 'Tuner', 'Effect']",,37675907,,,,Machine,5,"Once per turn: You can send 1 ""Synchron"" monster from your Deck to the Graveyard, then activate 1 of these effects;
Åú Increase this card's Level by the Level of the sent monster.
Åú Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using Materials including this card you control (this is a Quick Effect). You can only Synchro Summon ""Accel Synchron(s)"" once per turn."
Achacha Archer,1200,FIRE,600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,98865920,,,,Warrior,3,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.
Achacha Chanbara,1400,FIRE,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,62476197,,,,Warrior,3,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent."
Acid Crawler,900,EARTH,700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,77568553,,,,Insect,3,A giant caterpillar that secretes an acid mist that melts anything.
Acorno,200,EARTH,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,21051977,,,,Plant,1,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
Acrobat Monkey,1000,EARTH,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,47372349,,,,Machine,3,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Acrobatic Magician,800,DARK,2300,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,33656832,2,2,"When a monster(s) you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Acrobatic Magician"" once per turn.",Spellcaster,5,If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.
Adhesive Explosive,1000,WIND,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,53828396,,,,Machine,3,"Before damage calculation, if this card was attacked by your opponent's monster and was in face-down Defense Position card at the start of Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to."
"Adreus, Keeper of Armageddon",2600,DARK,1700,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2 Level 5 monsters,"['Xyz', 'Effect']",,94119480,,,,Fiend,5,Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.
Aegaion the Sea Castrum,?,WATER,3000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2 Level 8 monsters,"['Xyz', 'Effect']",,10678778,,,,Machine,8,"During either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck, face-up, and if you do, this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card, then target 1 of your opponent's banished Fusion, Synchro, or Xyz Monsters; return it to the Extra Deck, and if you do, destroy 1 monster your opponent controls with the same monster card type (Fusion, Synchro, or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn."
"Aether, the Empowering Dragon",2300,LIGHT,1600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,56804361,,,,Dragon,6,"When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn."
"Aether, the Evil Empowering Dragon",2300,DARK,1600,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"['Pendulum', 'Effect']",,28865322,4,4,"Once per turn: You can banish 1 ""Empowered Warrior"" monster from your Graveyard, then target 1 card on the field; destroy it.",Dragon,6,When this card is Normal or Special Summoned: You can target 1 monster on the field; banish it.
"Aggiba, the Malevolent Sh'nn S'yo",3000,LIGHT,3000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,None,,,,Fiend,10,"This card cannot be Special Summoned. To Tribute Summon this card you must Tribute 3 Fiend-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Agido,1500,EARTH,1300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,16135253,,,,Fairy,4,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)"
"Ahrima, the Wicked Warden",1700,DARK,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,86377375,,,,Fiend,4,"You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, but if you Tributed a DARK monster other than this card, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn."
Air Armor Ninja,1400,WIND,1400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,69023354,,,,Warrior,4,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1."
Air Eater,2100,WIND,1600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,8353769,,,,Fiend,6,"A monster that feeds on oxygen, suffocating any who stand near."
Airknight Parshath,1900,LIGHT,1400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,18036057,,,,Fairy,5,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card."
Airorca,1400,WIND,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,84747429,,,,Sea Serpent,3,"Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand, then target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase."
Aitsu,100,FIRE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,48202661,,,,Fairy,5,"He seems to be very unreliable, but he might have incredible potential."
Akakieisu,1000,DARK,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,38035986,,,,Spellcaster,3,A sorcerer who utters spells that render monsters unconscious.
Akashic Magician,1700,DARK,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"['Bottom', 'Top']",2,"2 monsters with the same Type, except Tokens","['Link', 'Effect']",,28776350,,,,Spellcaster,,"You can only Link Summon ""Akashic Magician(s)"" once per turn. If this card is Link Summoned: Return all monsters this card points to to the hand. Once per turn: You can declare 1 card name; excavate cards from the top of your Deck, equal to the total Link Rating of the Link Monsters co-linked to this card, then if you excavated any copies of the declared card, add them to your hand, also send the remaining cards to the GY."
Akihiron,1700,WATER,1400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,36904469,,,,Aqua,5,"This strange creature hides in the deep, dark corners of the seven seas."
"Akz, the Pumer",1500,EARTH,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,38837163,,,,Beast-Warrior,6,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster from your hand to activate 1 of the following effects: 
Åú Double this card's ATK until the End Phase. 
Åú This card can attack your opponent directly this turn."
Al-Lumi'raj,1600,WIND,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"['Tuner', 'Effect']",,25795273,,,,Wyrm,3,All monsters on the field lose ATK and DEF equal to their own Level/Rank x 300.
Alchemic Magician,1500,DARK,1500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,3 Level 4 Spellcaster-Type monsters,"['Xyz', 'Effect']",,65301952,,,,Spellcaster,4,"This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone."
Alchemist of Black Spells,1200,WIND,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,78121572,,,,Spellcaster,4,"Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on."
"Alector, Sovereign of Birds",2400,WIND,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,17573739,,,,Winged Beast,6,"If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up ""Alector, Sovereign of Birds"" on the field."
Aleister the Invoker,1000,DARK,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,86120751,,,,Spellcaster,4,"During either player's turn: You can send this card from your hand to the Graveyard, then target 1 Fusion Monster you control; it gains 1000 ATK and DEF until the end of this turn. If this card is Normal Summoned or flipped face-up: You can add 1 ""Invocation"" from your Deck to your hand."
Aleister the Meltdown Invoker,1800,DARK,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"['Bottom-Left', 'Bottom-Right']",2,2 monsters with different Types and Attributes,"['Link', 'Effect']",,97973962,,,,Spellcaster,,"This card's name becomes ""Aleister the Invoker"" while on the field or in the GY. If a Fusion Monster is Fusion Summoned: You can discard 1 card, and if you do, add 1 ""Invocation"" or ""The Book of the Law"" from your Deck to your hand. If this face-up card in its owner's control leaves the field because of an opponent's card effect: You can add 1 ""Omega Summon"" from your Deck to your hand."
Alexandrite Dragon,2000,LIGHT,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Normal'],,43096270,,,,Dragon,4,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not."
"Alich, Malebranche of the Burning Abyss",1200,DARK,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,47728740,,,,Fiend,3,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Alich, Malebranche of the Burning Abyss"" per turn, and only once that turn.
Åú If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
Åú If this card is sent to the Graveyard: You can target 1 face-up monster on the field; negate its effects until the end of this turn."
Alien Ammonite,500,LIGHT,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Tuner'],,652362,,,,Reptile,1,"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""Alien"" monster from your Graveyard. Destroy it during the End Phase."
Alien Dog,1500,LIGHT,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,15475415,,,,Reptile,3,"When you Normal Summon an ""Alien"" monster, you can Special Summon this card from your hand. When you do, place 2 ""A-Counters"" on face-up monster(s) your opponent controls."
Alien Grey,300,LIGHT,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,62437709,,,,Reptile,2,"FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card."
Alien Hunter,1600,WATER,800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,62315111,,,,Reptile,4,"If this card destroys a monster with an A-Counter by battle, it can attack once again in a row."
Alien Hypno,1600,WATER,700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Gemini'],,38468214,,,,Reptile,4,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
Åú During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it."
Alien Infiltrator,800,EARTH,500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,76573247,,,,Reptile,2,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly."
Alien Kid,1600,LIGHT,700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,64160836,,,,Reptile,4,"Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Alien Mars,1000,FIRE,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,['Effect'],,99532708,,,,Reptile,3,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars""."
